district,A_0_4_y_Indigenous_M_n,A_0_4_y_Indigenous_F_n,A_0_4_y_Indigenous_P_n,A_0_4_y_Non_Indigenous_M_n,A_0_4_y_Non_Indigenous_F_n,A_0_4_y_Non_Indigenous_P_n,A_0_4_y_Indig_stat_ns_M_n,A_0_4_y_Indig_stat_ns_F_n,A_0_4_y_Indig_stat_ns_P_n,A_0_4_y_Tot_M_n,A_0_4_y_Tot_F_n,A_0_4_y_Tot_P_n,A_5_9_y_Indigenous_M_n,A_5_9_y_Indigenous_F_n,A_5_9_y_Indigenous_P_n,A_5_9_y_Non_Indigenous_M_n,A_5_9_y_Non_Indigenous_F_n,A_5_9_y_Non_Indigenous_P_n,A_5_9_y_Indig_stat_ns_M_n,A_5_9_y_Indig_stat_ns_F_n,A_5_9_y_Indig_stat_ns_P_n,A_5_9_y_Tot_M_n,A_5_9_y_Tot_F_n,A_5_9_y_Tot_P_n,A_10_14_y_Indigenous_M_n,A_10_14_y_Indigenous_F_n,A_10_14_y_Indigenous_P_n,A_10_14_y_Non_Indig_M_n,A_10_14_y_Non_Indig_F_n,A_10_14_y_Non_Indig_P_n,A_10_14_y_Indig_stat_ns_M_n,A_10_14_y_Indig_stat_ns_F_n,A_10_14_y_Indig_stat_ns_P_n,A_10_14_y_Tot_M_n,A_10_14_y_Tot_F_n,A_10_14_y_Tot_P_n,A_15_19_y_Indigenous_M_n,A_15_19_y_Indigenous_F_n,A_15_19_y_Indigenous_P_n,A_15_19_y_Non_Indig_M_n,A_15_19_y_Non_Indig_F_n,A_15_19_y_Non_Indig_P_n,A_15_19_y_Indig_stat_ns_M_n,A_15_19_y_Indig_stat_ns_F_n,A_15_19_y_Indig_stat_ns_P_n,A_15_19_y_Tot_M_n,A_15_19_y_Tot_F_n,A_15_19_y_Tot_P_n,A_20_24_y_Indigenous_M_n,A_20_24_y_Indigenous_F_n,A_20_24_y_Indigenous_P_n,A_20_24_y_Non_Indig_M_n,A_20_24_y_Non_Indig_F_n,A_20_24_y_Non_Indig_P_n,A_20_24_y_Indig_stat_ns_M_n,A_20_24_y_Indig_stat_ns_F_n,A_20_24_y_Indig_stat_ns_P_n,A_20_24_y_Tot_M_n,A_20_24_y_Tot_F_n,A_20_24_y_Tot_P_n,A_25_29_y_Indigenous_M_n,A_25_29_y_Indigenous_F_n,A_25_29_y_Indigenous_P_n,A_25_29_y_Non_Indig_M_n,A_25_29_y_Non_Indig_F_n,A_25_29_y_Non_Indig_P_n,A_25_29_y_Indig_stat_ns_M_n,A_25_29_y_Indig_stat_ns_F_n,A_25_29_y_Indig_stat_ns_P_n,A_25_29_y_Tot_M_n,A_25_29_y_Tot_F_n,A_25_29_y_Tot_P_n,A_30_34_y_Indigenous_M_n,A_30_34_y_Indigenous_F_n,A_30_34_y_Indigenous_P_n,A_30_34_y_Non_Indig_M_n,A_30_34_y_Non_Indig_F_n,A_30_34_y_Non_Indig_P_n,A_30_34_y_Indig_stat_ns_M_n,A_30_34_y_Indig_stat_ns_F_n,A_30_34_y_Indig_stat_ns_P_n,A_30_34_y_Tot_M_n,A_30_34_y_Tot_F_n,A_30_34_y_Tot_P_n,A_35_39_y_Indigenous_M_n,A_35_39_y_Indigenous_F_n,A_35_39_y_Indigenous_P_n,A_35_39_y_Non_Indig_M_n,A_35_39_y_Non_Indig_F_n,A_35_39_y_Non_Indig_P_n,A_35_39_y_Indig_stat_ns_M_n,A_35_39_y_Indig_stat_ns_F_n,A_35_39_y_Indig_stat_ns_P_n,A_35_39_y_Tot_M_n,A_35_39_y_Tot_F_n,A_35_39_y_Tot_P_n,A_40_44_y_Indigenous_M_n,A_40_44_y_Indigenous_F_n,A_40_44_y_Indigenous_P_n,A_40_44_y_Non_Indig_M_n,A_40_44_y_Non_Indig_F_n,A_40_44_y_Non_Indig_P_n,A_40_44_y_Indig_stat_ns_M_n,A_40_44_y_Indig_stat_ns_F_n,A_40_44_y_Indig_stat_ns_P_n,A_40_44_y_Tot_M_n,A_40_44_y_Tot_F_n,A_40_44_y_Tot_P_n,A_45_49_y_Indigenous_M_n,A_45_49_y_Indigenous_F_n,A_45_49_y_Indigenous_P_n,A_45_49_y_Non_Indig_M_n,A_45_49_y_Non_Indig_F_n,A_45_49_y_Non_Indig_P_n,A_45_49_y_Indig_stat_ns_M_n,A_45_49_y_Indig_stat_ns_F_n,A_45_49_y_Indig_stat_ns_P_n,A_45_49_y_Tot_M_n,A_45_49_y_Tot_F_n,A_45_49_y_Tot_P_n,A_50_54_y_Indigenous_M_n,A_50_54_y_Indigenous_F_n,A_50_54_y_Indigenous_P_n,A_50_54_y_Non_Indig_M_n,A_50_54_y_Non_Indig_F_n,A_50_54_y_Non_Indig_P_n,A_50_54_y_Indig_stat_ns_M_n,A_50_54_y_Indig_stat_ns_F_n,A_50_54_y_Indig_stat_ns_P_n,A_50_54_y_Tot_M_n,A_50_54_y_Tot_F_n,A_50_54_y_Tot_P_n,A_55_59_y_Indigenous_M_n,A_55_59_y_Indigenous_F_n,A_55_59_y_Indigenous_P_n,A_55_59_y_Non_Indig_M_n,A_55_59_y_Non_Indig_F_n,A_55_59_y_Non_Indig_P_n,A_55_59_y_Indig_stat_ns_M_n,A_55_59_y_Indig_stat_ns_F_n,A_55_59_y_Indig_stat_ns_P_n,A_55_59_y_Tot_M_n,A_55_59_y_Tot_F_n,A_55_59_y_Tot_P_n,A_60_64_y_Indigenous_M_n,A_60_64_y_Indigenous_F_n,A_60_64_y_Indigenous_P_n,A_60_64_y_Non_Indig_M_n,A_60_64_y_Non_Indig_F_n,A_60_64_y_Non_Indig_P_n,A_60_64_y_Indig_stat_ns_M_n,A_60_64_y_Indig_stat_ns_F_n,A_60_64_y_Indig_stat_ns_P_n,A_60_64_y_Tot_M_n,A_60_64_y_Tot_F_n,A_60_64_y_Tot_P_n,A_65_y_ov_Indigenous_M_n,A_65_y_ov_Indigenous_F_n,A_65_y_ov_Indigenous_P_n,A_65_y_ov_Non_Indig_M_n,A_65_y_ov_Non_Indig_F_n,A_65_y_ov_Non_Indig_P_n,A_65_y_ov_Indig_stat_ns_M_n,A_65_y_ov_Indig_stat_ns_F_n,A_65_y_ov_Indig_stat_ns_P_n,A_65_y_ov_Tot_M_n,A_65_y_ov_Tot_F_n,A_65_y_ov_Tot_P_n,Tot_Indigenous_M_n,Tot_Indigenous_F_n,Tot_Indigenous_P_n,Tot_Non_Indigenous_M_n,Tot_Non_Indigenous_F_n,Tot_Non_Indigenous_P_n,Tot_Indig_status_ns_M_n,Tot_Indig_status_ns_F_n,Tot_Indig_status_ns_P_n,Tot_Tot_M_n,Tot_Tot_F_n,Tot_Tot_P_n,Tot_Tot_P_total
Narre Warren South,26.0,6.0,43.0,3109.0,2940.0,6037.0,71.0,102.0,230.0,3249.0,3126.0,6381.0,3.0,6.0,36.0,3491.0,3329.0,6735.0,126.0,107.0,262.0,3691.0,3505.0,7144.0,19.0,35.0,65.0,3652.0,3360.0,6970.0,73.0,83.0,255.0,3869.0,3493.0,7336.0,13.0,7.0,34.0,3266.0,3163.0,6417.0,75.0,100.0,228.0,3390.0,3301.0,6727.0,0.0,8.0,16.0,3376.0,3097.0,6467.0,74.0,95.0,213.0,3553.0,3222.0,6790.0,0.0,8.0,13.0,3085.0,2936.0,6033.0,99.0,110.0,241.0,3258.0,3084.0,6392.0,0.0,0.0,4.0,2869.0,3236.0,6110.0,87.0,71.0,248.0,3033.0,3421.0,6471.0,0.0,0.0,3.0,3321.0,3495.0,6771.0,78.0,111.0,216.0,3434.0,3709.0,7098.0,0.0,0.0,5.0,3110.0,3119.0,6310.0,76.0,40.0,161.0,3301.0,3222.0,6570.0,4.0,0.0,4.0,3004.0,3077.0,6098.0,48.0,41.0,160.0,3117.0,3232.0,6321.0,0.0,0.0,8.0,2755.0,2914.0,5662.0,52.0,45.0,161.0,2871.0,3041.0,5861.0,0.0,6.0,6.0,2513.0,2383.0,4994.0,27.0,33.0,88.0,2588.0,2475.0,5129.0,0.0,0.0,9.0,1972.0,2018.0,3999.0,35.0,34.0,129.0,2075.0,2104.0,4193.0,0.0,0.0,0.0,3602.0,3948.0,7628.0,68.0,97.0,235.0,3787.0,4110.0,7962.0,237.0,254.0,540.0,43286.0,42953.0,86266.0,1797.0,1664.0,3500.0,45344.0,44966.0,90266.0,90266.0
Nepean,25.0,9.0,52.0,1202.0,1112.0,2320.0,57.0,56.0,147.0,1345.0,1208.0,2567.0,10.0,14.0,22.0,1292.0,1211.0,2505.0,76.0,62.0,193.0,1424.0,1349.0,2857.0,13.0,15.0,69.0,1420.0,1309.0,2783.0,105.0,90.0,208.0,1556.0,1469.0,3118.0,7.0,8.0,21.0,1327.0,1203.0,2555.0,54.0,46.0,146.0,1442.0,1330.0,2795.0,3.0,8.0,12.0,1085.0,1057.0,2134.0,58.0,56.0,156.0,1180.0,1203.0,2357.0,4.0,3.0,18.0,1046.0,1069.0,2145.0,61.0,36.0,132.0,1168.0,1172.0,2338.0,3.0,8.0,11.0,1265.0,1364.0,2644.0,35.0,67.0,152.0,1298.0,1486.0,2853.0,5.0,0.0,15.0,1360.0,1391.0,2701.0,56.0,77.0,179.0,1434.0,1493.0,2942.0,4.0,4.0,11.0,1203.0,1461.0,2651.0,60.0,57.0,183.0,1343.0,1562.0,2916.0,5.0,3.0,8.0,1680.0,1717.0,3368.0,105.0,73.0,280.0,1851.0,1830.0,3654.0,6.0,6.0,12.0,1866.0,2007.0,3814.0,97.0,119.0,216.0,1979.0,2201.0,4141.0,0.0,0.0,3.0,1941.0,2100.0,4035.0,88.0,108.0,262.0,2101.0,2281.0,4322.0,0.0,0.0,0.0,2173.0,2512.0,4741.0,83.0,115.0,279.0,2354.0,2685.0,5066.0,0.0,6.0,14.0,9004.0,9775.0,18806.0,553.0,658.0,1307.0,9677.0,10558.0,20158.0,286.0,284.0,606.0,27786.0,29416.0,57232.0,2078.0,2192.0,4249.0,30206.0,31907.0,62145.0,62145.0
Niddrie,8.0,3.0,11.0,1861.0,1610.0,3461.0,20.0,29.0,70.0,1950.0,1697.0,3563.0,0.0,0.0,3.0,1949.0,1911.0,3899.0,24.0,26.0,65.0,2029.0,1990.0,4020.0,8.0,3.0,14.0,2039.0,1874.0,3899.0,14.0,36.0,79.0,2114.0,1964.0,4106.0,3.0,6.0,13.0,1953.0,1880.0,3877.0,13.0,9.0,46.0,2001.0,1912.0,3955.0,6.0,0.0,7.0,1973.0,1730.0,3669.0,33.0,19.0,59.0,2049.0,1794.0,3788.0,0.0,0.0,0.0,1780.0,1709.0,3496.0,65.0,49.0,136.0,1861.0,1793.0,3640.0,0.0,0.0,0.0,1974.0,2111.0,4060.0,27.0,7.0,103.0,2072.0,2205.0,4235.0,0.0,0.0,0.0,2138.0,2219.0,4439.0,30.0,53.0,110.0,2200.0,2341.0,4555.0,3.0,0.0,3.0,2122.0,2323.0,4432.0,8.0,22.0,69.0,2244.0,2382.0,4549.0,0.0,0.0,0.0,2204.0,2462.0,4673.0,36.0,38.0,91.0,2308.0,2527.0,4781.0,0.0,0.0,0.0,2300.0,2361.0,4666.0,57.0,32.0,109.0,2408.0,2460.0,4798.0,0.0,0.0,0.0,1983.0,2254.0,4265.0,27.0,9.0,56.0,2034.0,2277.0,4324.0,0.0,0.0,0.0,1802.0,2080.0,3851.0,11.0,22.0,63.0,1852.0,2125.0,4006.0,0.0,0.0,0.0,6231.0,7831.0,14089.0,170.0,225.0,472.0,6474.0,8115.0,14566.0,78.0,103.0,250.0,32455.0,34299.0,66723.0,979.0,1001.0,2050.0,33632.0,35439.0,69042.0,69042.0
Northcote,3.0,3.0,16.0,1634.0,1621.0,3215.0,18.0,15.0,42.0,1663.0,1652.0,3317.0,0.0,3.0,3.0,1587.0,1580.0,3257.0,22.0,36.0,108.0,1657.0,1654.0,3373.0,4.0,0.0,15.0,1701.0,1632.0,3330.0,18.0,8.0,47.0,1742.0,1664.0,3382.0,14.0,0.0,7.0,1466.0,1508.0,2974.0,11.0,28.0,62.0,1496.0,1576.0,3073.0,7.0,0.0,10.0,1670.0,1797.0,3479.0,56.0,26.0,108.0,1762.0,1880.0,3667.0,3.0,0.0,20.0,2722.0,3245.0,5967.0,62.0,73.0,153.0,2854.0,3439.0,6247.0,0.0,0.0,9.0,3144.0,3656.0,6815.0,87.0,71.0,204.0,3301.0,3768.0,7089.0,0.0,0.0,3.0,2863.0,3138.0,5935.0,48.0,87.0,192.0,2975.0,3237.0,6167.0,0.0,0.0,8.0,2404.0,2594.0,5021.0,56.0,46.0,159.0,2521.0,2665.0,5214.0,9.0,0.0,8.0,2322.0,2526.0,4825.0,31.0,20.0,94.0,2412.0,2632.0,5039.0,4.0,0.0,4.0,2244.0,2394.0,4698.0,24.0,20.0,82.0,2349.0,2472.0,4806.0,0.0,0.0,0.0,1749.0,1971.0,3721.0,37.0,16.0,101.0,1819.0,2045.0,3885.0,0.0,0.0,0.0,1498.0,1611.0,3032.0,13.0,9.0,41.0,1517.0,1675.0,3201.0,4.0,0.0,4.0,3764.0,4809.0,8580.0,69.0,115.0,225.0,3931.0,4948.0,8920.0,172.0,194.0,424.0,30839.0,34016.0,64877.0,980.0,1061.0,2067.0,32142.0,35297.0,67452.0,67452.0
Oakleigh,3.0,0.0,6.0,2199.0,1977.0,4182.0,30.0,31.0,91.0,2241.0,2060.0,4340.0,3.0,0.0,12.0,2115.0,1981.0,4128.0,30.0,40.0,100.0,2179.0,2079.0,4265.0,0.0,0.0,0.0,1865.0,1814.0,3713.0,30.0,22.0,73.0,1920.0,1890.0,3853.0,10.0,7.0,22.0,2100.0,2086.0,4241.0,33.0,42.0,101.0,2161.0,2195.0,4399.0,15.0,12.0,28.0,4775.0,4331.0,9254.0,229.0,160.0,460.0,5083.0,4645.0,9827.0,6.0,0.0,12.0,5518.0,4469.0,10080.0,312.0,182.0,532.0,5918.0,4780.0,10647.0,3.0,4.0,7.0,4057.0,4209.0,8194.0,120.0,119.0,302.0,4257.0,4328.0,8616.0,0.0,0.0,0.0,3536.0,3394.0,6892.0,86.0,72.0,221.0,3665.0,3526.0,7155.0,0.0,0.0,0.0,2799.0,2600.0,5364.0,64.0,44.0,141.0,2912.0,2691.0,5592.0,0.0,3.0,3.0,2542.0,2507.0,4998.0,30.0,25.0,92.0,2615.0,2612.0,5175.0,0.0,0.0,7.0,2401.0,2520.0,4908.0,13.0,37.0,104.0,2482.0,2613.0,5078.0,0.0,0.0,0.0,2088.0,2326.0,4360.0,24.0,12.0,91.0,2156.0,2382.0,4536.0,0.0,0.0,0.0,1786.0,1990.0,3760.0,7.0,22.0,65.0,1848.0,2021.0,3901.0,0.0,0.0,4.0,5296.0,6676.0,12067.0,139.0,176.0,475.0,5476.0,7016.0,12594.0,103.0,81.0,243.0,43188.0,43076.0,86170.0,1770.0,1557.0,3390.0,45155.0,44812.0,89923.0,89923.0
Ovens Valley,4.0,25.0,76.0,1411.0,1416.0,2777.0,46.0,27.0,114.0,1529.0,1541.0,3051.0,27.0,24.0,73.0,1663.0,1452.0,3146.0,77.0,107.0,219.0,1838.0,1649.0,3543.0,23.0,54.0,93.0,1828.0,1778.0,3584.0,77.0,76.0,185.0,2019.0,1941.0,3953.0,50.0,24.0,93.0,1603.0,1501.0,3145.0,40.0,63.0,149.0,1808.0,1634.0,3476.0,12.0,3.0,29.0,1241.0,1197.0,2364.0,45.0,52.0,143.0,1343.0,1327.0,2640.0,12.0,0.0,22.0,1451.0,1474.0,2896.0,69.0,47.0,159.0,1584.0,1560.0,3137.0,18.0,3.0,24.0,1393.0,1540.0,2862.0,72.0,52.0,175.0,1540.0,1644.0,3098.0,6.0,10.0,29.0,1496.0,1576.0,3029.0,57.0,55.0,193.0,1667.0,1722.0,3275.0,5.0,4.0,9.0,1511.0,1725.0,3200.0,54.0,57.0,176.0,1609.0,1831.0,3469.0,6.0,9.0,23.0,1693.0,1850.0,3651.0,50.0,71.0,183.0,1844.0,2000.0,3884.0,6.0,12.0,33.0,1795.0,2015.0,3799.0,75.0,62.0,201.0,1960.0,2120.0,4061.0,7.0,16.0,29.0,1965.0,2100.0,4036.0,68.0,80.0,190.0,2106.0,2255.0,4349.0,7.0,3.0,24.0,2135.0,2312.0,4410.0,79.0,89.0,246.0,2291.0,2474.0,4742.0,20.0,6.0,40.0,7351.0,7973.0,15335.0,435.0,495.0,991.0,7871.0,8512.0,16416.0,495.0,489.0,1076.0,28598.0,29746.0,58394.0,1894.0,1880.0,3798.0,31062.0,32220.0,63243.0,63243.0
Pakenham,17.0,36.0,93.0,3192.0,3037.0,6242.0,56.0,85.0,182.0,3366.0,3238.0,6587.0,47.0,18.0,87.0,3120.0,2970.0,6125.0,106.0,77.0,240.0,3358.0,3170.0,6524.0,15.0,18.0,79.0,2485.0,2432.0,4959.0,90.0,58.0,206.0,2639.0,2567.0,5277.0,10.0,15.0,34.0,2106.0,1973.0,4052.0,59.0,69.0,153.0,2269.0,2100.0,4345.0,8.0,14.0,39.0,2174.0,2286.0,4372.0,41.0,45.0,153.0,2319.0,2418.0,4652.0,6.0,14.0,17.0,2886.0,3110.0,6122.0,86.0,92.0,205.0,3057.0,3365.0,6446.0,0.0,0.0,11.0,3357.0,3759.0,7094.0,79.0,98.0,274.0,3469.0,3961.0,7498.0,8.0,4.0,16.0,3198.0,3479.0,6700.0,70.0,73.0,213.0,3424.0,3621.0,7045.0,0.0,4.0,11.0,2603.0,2516.0,5017.0,84.0,42.0,183.0,2754.0,2581.0,5248.0,0.0,0.0,0.0,2105.0,2214.0,4310.0,42.0,65.0,154.0,2257.0,2295.0,4522.0,3.0,0.0,23.0,1777.0,1916.0,3652.0,29.0,27.0,92.0,1839.0,1983.0,3878.0,0.0,0.0,0.0,1510.0,1636.0,3086.0,14.0,18.0,60.0,1555.0,1688.0,3217.0,0.0,5.0,5.0,1275.0,1456.0,2722.0,12.0,6.0,36.0,1304.0,1498.0,2813.0,6.0,0.0,12.0,3493.0,4414.0,7919.0,113.0,187.0,343.0,3696.0,4650.0,8303.0,321.0,359.0,723.0,35508.0,37088.0,72599.0,1471.0,1605.0,3074.0,37291.0,39109.0,76386.0,76386.0
Pascoe Vale,26.0,0.0,41.0,1884.0,1849.0,3725.0,15.0,22.0,70.0,1958.0,1948.0,3908.0,0.0,0.0,14.0,1872.0,1818.0,3642.0,25.0,29.0,86.0,1935.0,1895.0,3814.0,0.0,0.0,5.0,1701.0,1659.0,3363.0,6.0,21.0,61.0,1747.0,1722.0,3490.0,0.0,0.0,0.0,1567.0,1515.0,3072.0,28.0,23.0,53.0,1638.0,1604.0,3196.0,3.0,6.0,18.0,2167.0,2096.0,4224.0,37.0,47.0,103.0,2246.0,2150.0,4406.0,4.0,3.0,16.0,2871.0,3068.0,5940.0,71.0,81.0,208.0,3001.0,3246.0,6249.0,7.0,8.0,17.0,3100.0,3279.0,6475.0,73.0,94.0,196.0,3253.0,3482.0,6693.0,4.0,0.0,7.0,2929.0,3065.0,6068.0,58.0,67.0,191.0,3085.0,3226.0,6270.0,0.0,4.0,7.0,2474.0,2582.0,5073.0,31.0,58.0,125.0,2540.0,2676.0,5185.0,0.0,0.0,0.0,2182.0,2444.0,4658.0,36.0,26.0,97.0,2317.0,2507.0,4797.0,0.0,0.0,0.0,2065.0,2198.0,4283.0,54.0,44.0,118.0,2148.0,2300.0,4495.0,0.0,3.0,3.0,1815.0,1825.0,3680.0,19.0,19.0,61.0,1885.0,1875.0,3782.0,0.0,0.0,0.0,1378.0,1605.0,3014.0,26.0,19.0,65.0,1428.0,1667.0,3119.0,0.0,4.0,7.0,3878.0,5204.0,9088.0,168.0,214.0,433.0,4113.0,5464.0,9572.0,165.0,205.0,413.0,31978.0,34152.0,66115.0,1176.0,1196.0,2341.0,33309.0,35628.0,68976.0,68976.0
Point Cook,8.0,11.0,18.0,3506.0,3336.0,6885.0,58.0,94.0,221.0,3690.0,3534.0,7240.0,4.0,12.0,21.0,4161.0,3946.0,8045.0,144.0,90.0,348.0,4368.0,4118.0,8486.0,6.0,4.0,7.0,3460.0,3188.0,6678.0,65.0,89.0,193.0,3616.0,3326.0,7010.0,16.0,4.0,38.0,2664.0,2288.0,4928.0,67.0,60.0,165.0,2827.0,2451.0,5228.0,16.0,15.0,37.0,2262.0,2171.0,4513.0,111.0,47.0,208.0,2387.0,2344.0,4794.0,8.0,0.0,16.0,2541.0,2563.0,5081.0,135.0,93.0,295.0,2760.0,2679.0,5477.0,3.0,0.0,7.0,3162.0,3926.0,7026.0,100.0,76.0,255.0,3317.0,4116.0,7435.0,3.0,0.0,6.0,4604.0,5112.0,9709.0,137.0,137.0,379.0,4860.0,5321.0,10117.0,0.0,0.0,6.0,4217.0,3915.0,8231.0,95.0,94.0,244.0,4404.0,4108.0,8563.0,4.0,3.0,7.0,3109.0,3165.0,6285.0,77.0,37.0,178.0,3245.0,3230.0,6535.0,0.0,4.0,21.0,2629.0,2631.0,5225.0,62.0,41.0,140.0,2749.0,2750.0,5527.0,0.0,0.0,0.0,2016.0,2038.0,4092.0,35.0,27.0,103.0,2119.0,2113.0,4241.0,0.0,0.0,0.0,1658.0,1850.0,3465.0,10.0,16.0,69.0,1702.0,1867.0,3599.0,0.0,0.0,0.0,3700.0,4365.0,8061.0,70.0,77.0,214.0,3835.0,4565.0,8364.0,237.0,205.0,552.0,43935.0,44537.0,88490.0,1916.0,1730.0,3569.0,46055.0,46538.0,92635.0,92635.0
Polwarth,11.0,18.0,28.0,1856.0,1755.0,3626.0,59.0,41.0,164.0,1971.0,1908.0,3883.0,8.0,24.0,54.0,2140.0,1923.0,4056.0,68.0,94.0,222.0,2281.0,2086.0,4404.0,24.0,21.0,50.0,2204.0,1970.0,4150.0,104.0,61.0,235.0,2427.0,2090.0,4517.0,14.0,0.0,29.0,1901.0,1720.0,3633.0,69.0,43.0,166.0,2001.0,1868.0,3908.0,6.0,0.0,9.0,1535.0,1272.0,2851.0,52.0,37.0,103.0,1657.0,1381.0,3039.0,0.0,0.0,10.0,1590.0,1540.0,3176.0,54.0,57.0,156.0,1752.0,1685.0,3395.0,0.0,6.0,15.0,1710.0,1903.0,3664.0,84.0,46.0,147.0,1883.0,1996.0,3907.0,4.0,0.0,7.0,1913.0,2196.0,4121.0,51.0,90.0,216.0,2115.0,2308.0,4404.0,0.0,0.0,14.0,1991.0,2076.0,4058.0,71.0,71.0,216.0,2168.0,2226.0,4372.0,4.0,3.0,10.0,2159.0,2242.0,4314.0,53.0,67.0,202.0,2316.0,2344.0,4557.0,0.0,0.0,5.0,2125.0,2274.0,4410.0,98.0,54.0,173.0,2258.0,2433.0,4670.0,0.0,0.0,3.0,2200.0,2281.0,4462.0,85.0,65.0,220.0,2387.0,2408.0,4771.0,5.0,0.0,5.0,2266.0,2384.0,4626.0,86.0,64.0,198.0,2442.0,2518.0,5011.0,10.0,9.0,21.0,6918.0,7529.0,14471.0,419.0,446.0,922.0,7481.0,8056.0,15533.0,273.0,307.0,678.0,32612.0,33058.0,65695.0,2075.0,1949.0,3968.0,35044.0,35311.0,70347.0,70347.0
Prahran,0.0,0.0,0.0,1083.0,1145.0,2188.0,19.0,20.0,67.0,1116.0,1228.0,2292.0,0.0,0.0,0.0,758.0,751.0,1502.0,15.0,25.0,69.0,835.0,796.0,1630.0,0.0,0.0,6.0,627.0,631.0,1319.0,30.0,23.0,74.0,691.0,713.0,1448.0,9.0,7.0,16.0,752.0,805.0,1595.0,34.0,26.0,85.0,855.0,889.0,1773.0,0.0,0.0,16.0,2297.0,3002.0,5355.0,104.0,158.0,313.0,2465.0,3282.0,5716.0,3.0,3.0,19.0,5305.0,6090.0,11372.0,338.0,290.0,655.0,5674.0,6463.0,12105.0,0.0,0.0,3.0,5297.0,5431.0,10707.0,271.0,261.0,634.0,5676.0,5794.0,11357.0,4.0,0.0,11.0,3788.0,3676.0,7463.0,192.0,151.0,427.0,4055.0,3856.0,7962.0,0.0,0.0,0.0,2534.0,2143.0,4689.0,123.0,88.0,276.0,2696.0,2314.0,5024.0,0.0,4.0,4.0,1905.0,1782.0,3747.0,89.0,89.0,206.0,2023.0,1939.0,4024.0,0.0,0.0,0.0,1682.0,1775.0,3401.0,80.0,56.0,209.0,1825.0,1811.0,3632.0,0.0,0.0,0.0,1559.0,1458.0,3089.0,82.0,64.0,167.0,1746.0,1573.0,3291.0,6.0,0.0,7.0,1325.0,1438.0,2814.0,38.0,39.0,142.0,1443.0,1524.0,2968.0,3.0,0.0,8.0,3884.0,4778.0,8578.0,268.0,311.0,685.0,4197.0,5096.0,9338.0,137.0,99.0,338.0,32825.0,34868.0,67714.0,2190.0,2242.0,4451.0,35298.0,37237.0,72496.0,72496.0
Preston,25.0,12.0,63.0,2103.0,1923.0,4045.0,43.0,47.0,136.0,2246.0,2050.0,4304.0,21.0,15.0,59.0,1826.0,1725.0,3579.0,62.0,24.0,126.0,1991.0,1810.0,3788.0,17.0,9.0,40.0,1598.0,1538.0,3137.0,53.0,31.0,106.0,1714.0,1603.0,3314.0,7.0,10.0,30.0,1431.0,1428.0,2846.0,32.0,21.0,85.0,1554.0,1510.0,3080.0,9.0,23.0,46.0,2297.0,2094.0,4320.0,65.0,48.0,150.0,2450.0,2186.0,4580.0,18.0,34.0,66.0,3176.0,2993.0,6168.0,106.0,97.0,250.0,3391.0,3217.0,6595.0,23.0,20.0,61.0,3407.0,3540.0,6991.0,95.0,97.0,255.0,3664.0,3746.0,7422.0,4.0,13.0,20.0,3103.0,3108.0,6219.0,104.0,87.0,265.0,3305.0,3285.0,6513.0,0.0,8.0,23.0,2458.0,2638.0,5096.0,75.0,57.0,164.0,2573.0,2750.0,5357.0,0.0,4.0,14.0,2304.0,2267.0,4497.0,58.0,54.0,143.0,2404.0,2376.0,4771.0,3.0,18.0,18.0,2228.0,2298.0,4508.0,42.0,50.0,127.0,2349.0,2408.0,4744.0,0.0,9.0,18.0,1819.0,1943.0,3825.0,27.0,12.0,86.0,1875.0,2016.0,3979.0,0.0,17.0,17.0,1654.0,1724.0,3379.0,37.0,16.0,94.0,1748.0,1801.0,3550.0,0.0,9.0,13.0,4992.0,6307.0,11287.0,250.0,366.0,709.0,5333.0,6706.0,12056.0,386.0,423.0,865.0,34336.0,35424.0,69748.0,1727.0,1623.0,3232.0,36467.0,37515.0,73965.0,73965.0
